iso-3,2015,2016,2017,2018,2019
CHN,1290000000.0,1360000000.0,1470000000.0,1650000000.0,1730000000.0
IND,1000000000.0,1130000000.0,1170000000.0,1180000000.0,1150000000.0
USA,382000000.0,396000000.0,400000000.0,422000000.0,4780000.0
IDN,339000000.0,386000000.0,435000000.0,319000000.0,345000000.0
BRA,258000000.0,244000000.0,218000000.0,207000000.0,255000.0
RUS,227000000.0,229000000.0,227000000.0,229000000.0,240000000.0
JPN,161000000.0,167000000.0,173000000.0,180000000.0,7780000.0
NGA,151000000.0,154000000.0,145000000.0,173000000.0,2820000.0
BGD,131000000.0,136000000.0,151000000.0,162000000.0,166000000.0
PAK,126000000.0,136000000.0,145000000.0,154000000.0,165000000.0
VNM,120000000.0,121000000.0,120000000.0,141000000.0,136000000.0
PHL,118000000.0,120000000.0,116000000.0,135000000.0,167000000.0
MEX,108000000.0,112000000.0,114000000.0,120000000.0,121000000.0
THA,103000000.0,120000000.0,122000000.0,125000000.0,130000000.0
DEU,96400000.0,103000000.0,110000000.0,108000000.0,107000000.0
EGY,94000000.0,97800000.0,103000000.0,93800000.0,95300000.0
ZAF,88000000.0,82400000.0,88500000.0,92400000.0,97000000.0
ITA,87700000.0,86000000.0,83900000.0,83300000.0,80600000.0
GBR,79300000.0,78900000.0,79100000.0,79500000.0,72000000.0
IRN,74200000.0,80500000.0,87000000.0,88700000.0,118000000.0
TUR,73600000.0,75100000.0,77800000.0,80100000.0,80800000.0
FRA,66700000.0,67600000.0,69000000.0,70400000.0,72000000.0
ARG,61800000.0,63700000.0,61900000.0,58600000.0,58600000.0
UKR,60700000.0,56700000.0,55700000.0,53900000.0,54800000.0
KOR,58900000.0,61300000.0,63700000.0,66400000.00000001,68900000.0
COL,57300000.0,58700000.0,62200000.0,64500000.0,66300000.0
POL,54500000.0,53000000.0,50500000.0,51100000.0,52300000.0
SAU,52800000.0,47900000.0,40200000.0,41300000.0,41300000.0
ESP,51100000.0,51500000.0,52500000.0,54200000.0,55300000.0
MYS,44100000.0,43500000.0,42300000.0,42400000.0,44600000.0
DZA,43200000.0,47000000.0,45800000.0,47200000.0,47100000.0
MAR,43100000.0,41500000.0,43900000.0,44700000.0,46700000.0
ETH,42300000.0,51200000.0,39600000.0,1920000.0,1950000.0
MMR,41000000.0,50600000.0,47900000.0,61100000.0,635000.0
TZA,39700000.0,40000000.0,40000000.0,43500000.0,47700000.0
COD,37800000.0,28900000.0,35400000.0,36500000.0,37100000.0
KEN,37700000.0,39000000.0,42800000.0,49500000.0,54600000.0
GHA,35000000.0,38300000.0,36800000.0,40900000.0,40900000.0
PER,34200000.0,36900000.0,38900000.0,42200000.0,5600000.0
IRQ,33600000.0,33400000.0,33400000.0,36500000.0,118000000.0
CAN,29800000.0,30800000.0,31700000.0,33200000.000000004,34600000.0
VEN,29100000.0,27600000.0,24500000.0,20700000.0,16600000.000000002
SDN,27900000.0,27800000.0,28600000.0,30100000.0,33000000.0
NPL,27500000.0,32100000.0,36100000.0,39200000.0,21800000.0
KAZ,26300000.0,25500000.0,26700000.0,26100000.0,25700000.0
AUS,25800000.0,26600000.0,26700000.0,27600000.0,27900000.0
CIV,25400000.0,27500000.0,31700000.0,33800000.0,37400000.0
LKA,23900000.0,25800000.0,28200000.0,30300000.0,48300.0
CHL,23200000.0,23300000.0,23000000.0,25200000.0,25100000.0
ROU,23100000.0,22900000.0,22400000.0,22600000.0,22700000.0
MLI,22700000.0,20200000.0,22000000.0,22000000.0,2060000.0
UZB,21800000.0,23300000.0,24300000.0,23200000.0,33400000.0
KHM,20900000.0,19900000.0,18600000.0,19400000.0,21400000.0
NLD,20800000.0,20900000.0,20500000.0,21100000.0,21800000.0
UGA,20200000.0,22800000.0,24900000.0,24500000.0,47700000.0
MOZ,20100000.0,15000000.0,11900000.0,14100000.0,4420000.0
AFG,19700000.0,21600000.0,23900000.0,22000000.0,22600000.0
CMR,18200000.0,18700000.0,20100000.0,18500000.0,21200000.0
GUM,18100000.0,18300000.0,20000000.0,20500000.0,20900000.0
GTM,18100000.0,18300000.0,20000000.0,20500000.0,20900000.0
ARE,17900000.0,19900000.0,19800000.0,20100000.0,19600000.0
HKG,16700000.0,17600000.0,18400000.0,19900000.0,21500000.0
SEN,15000000.0,15200000.0,15800000.0,16600000.000000002,17900000.0
YEM,15000000.0,16399999.999999998,15400000.0,15300000.0,265000.0
TUN,14600000.0,14300000.0,14300000.0,14800000.0,14800000.0
BFA,14400000.0,15400000.0,17900000.0,19300000.0,20400000.0
TCA,14300000.0,13300000.0,15400000.0,17100000.0,19400000.0
SYR,14300000.0,13300000.0,15400000.0,17100000.0,19400000.0
AGO,13900000.0,13000000.0,13300000.0,13300000.0,14800000.0
JOR,13800000.0,9820000.0,9700000.0,8730000.0,7780000.0
AUT,13500000.0,11100000.0,10900000.0,11000000.0,10700000.0
ECU,12900000.0,13900000.0,14700000.0,15800000.0,15900000.0
ZWE,12800000.0,12900000.0,14100000.0,12900000.0,13200000.0
BEL,12800000.0,12600000.0,11400000.0,11400000.0,11500000.0
SWE,12600000.0,12500000.0,12500000.0,12600000.0,12700000.0
GRC,12600000.0,12500000.0,12900000.0,12200000.0,11900000.0
CZE,12500000.0,12500000.0,12600000.0,12700000.0,13200000.0
PRT,11700000.0,11600000.0,11800000.0,11900000.0,11900000.0
ZMB,11600000.0,12000000.0,13400000.0,15500000.0,17200000.0
BLR,11400000.0,11400000.0,11400000.0,11600000.0,3690000.0
CHE,11200000.0,11200000.0,11100000.0,10800000.0,10900000.0
GIN,10800000.0,11100000.0,11700000.0,12000000.0,12900000.0
MDG,10700000.0,8000000.0,8730000.0,10700000.0,3610000.0
AZE,10700000.0,10200000.0,10100000.0,10300000.0,10800000.0
ISR,10600000.0,10600000.0,10500000.0,10700000.0,10800000.0
BOL,10200000.0,10100000.0,11000000.0,11400000.0,255000.0
HUN,9900000.0,9950000.0,9950000.0,10000000.0,10300000.0
LBY,9750000.0,7660000.0,6020000.0,4420000.0,4240000.0
SLV,9330000.0,9640000.0,9480000.0,9430000.0,6730000.0
BEN,9320000.0,8890000.0,8770000.0,9460000.0,10300000.0
BGR,9190000.0,8970000.0,8530000.0,8390000.0,8130000.000000001
SRB,9160000.0,9090000.0,8620000.0,8430000.0,8450000.0
NER,8960000.0,7470000.0,8780000.0,2760000.0,2820000.0
DOM,8800000.0,8710000.0,8770000.0,8940000.0,8950000.0
RWA,8760000.0,8920000.0,8820000.0,9700000.0,9660000.0
TJK,8490000.0,9400000.0,9900000.0,125000000.0,130000000.0
SGP,8230000.0,8460000.0,8380000.000000001,8570000.0,9080000.0
HND,8050000.000000001,7830000.0,8230000.0,7590000.0,7090000.0
TKM,7840000.0,8570000.0,9380000.0,125000000.0,130000000.0
KWT,7660000.0,7660000.0,7140000.0,7100000.0,7330000.0
KGZ,7580000.0,7610000.0,8470000.0,8740000.0,8620000.0
CRI,7540000.0,8330000.0,8840000.0,8500000.0,8170000.0
PRY,7410000.0,7490000.0,7470000.0,7440000.0,11900000.0
FIN,7400000.0,7220000.0,7160000.0,7150000.0,7150000.0
HTI,7300000.0,6500000.0,6310000.0,6400000.0,4400000.0
NIC,7260000.0,7750000.0,8180000.0,7440000.0,5790000.0
DNK,7080000.0,6990000.0,7140000.0,7220000.0,7240000.0
SVK,6680000.0,6990000.0,7120000.0,7240000.0,7400000.0
OMN,6650000.0,6870000.0,6940000.0,6440000.0,6380000.0
MWI,6570000.0,7180000.0,7770000.0,7080000.0,8900000.0
SOM,5840000.0,6650000.0,7120000.0,7650000.0,38800.0
PAN,5740000.0,5140000.0,5280000.0,5720000.0,5600000.0
NOR,5710000.0,5730000.0,5720000.0,5720000.0,21800000.0
SLE,5660000.0,6280000.0,6630000.0,6360000.0,6730000.0
NZL,5600000.0,6100000.0,6400000.0,6400000.0,21800000.0
GEO,5550000.0,5530000.0,5500000.0,5460000.0,5380000.0
TCD,5470000.0,5590000.0,6370000.0,6980000.0,7660000.0
COG,5220000.0,5420000.0,5060000.0,5000000.0,37100000.0
URY,5170000.0,5120000.0,5100000.0,5170000.0,4780000.0
BDI,5000000.0,5360000.0,5920000.0,6320000.0,6640000.0
IRL,4900000.0,4880000.0,4900000.0,4970000.0,5150000.0
TGO,4860000.0,5510000.0,6070000.0,6140000.0,6240000.0
LBN,4660000.0,4280000.0,4400000.0,4420000.0,4240000.0
HRV,4420000.0,4410000.0,4320000.0,4390000.0,4400000.0
LTU,4179999.9999999995,4200000.0,4360000.0,4590000.0,4660000.0
QAT,3740000.0,3650000.0,3990000.0,3950000.0,3920000.0
LAO,3730000.0,3960000.0,3710000.0,3660000.0,4360000.0
MDA,3710000.0,3790000.0,3750000.0,3640000.0,3610000.0
LBR,3650000.0,3120000.0,2660000.0,4420000.0,4240000.0
MRT,3640000.0,3610000.0,4070000.0000000005,4570000.0,4710000.0
PNG,3560000.0,3780000.0,4019999.9999999995,135000000.0,167000000.0
PSE,3530000.0,3710000.0,4000000.0,4380000.0,11900000.0
BWA,3480000.0,3290000.0,3240000.0,3380000.0,4000000.0
ASM,3460000.0,3430000.0,3490000.0,3580000.0,3620000.0
ARM,3460000.0,3430000.0,3490000.0,3580000.0,3620000.0
BIH,3440000.0,3400000.0,3440000.0,3460000.0,3690000.0
ALB,3400000.0,3370000.0,3630000.0,2710000.0,2630000.0
CUB,3340000.0,3990000.0,4610000.0,5370000.0,6040000.0
PRK,3240000.0,3610000.0,3810000.0,3330000.0,3370000.0
PRI,3200000.0,3250000.0,3390000.0,3330000.0,3370000.0
JAM,3140000.0,3270000.0,3090000.0,2960000.0,3020000.0
MNP,3070000.0,3370000.0,3890000.0,4220000.0,4420000.0
MNG,3070000.0,3370000.0,3890000.0,4220000.0,4420000.0
SSD,2900000.0,2700000.0,2790000.0,3670000.0,8450000.0
GAB,2820000.0,2960000.0,2660000.0,2930000.0,72000000.0
GMB,2720000.0,2840000.0,2970000.0,3180000.0,12900000.0
LVA,2590000.0,2650000.0,2460000.0,2069999.9999999998,2069999.9999999998
NAM,2550000.0,2660000.0,2680000.0,2760000.0,2820000.0
BHR,2520000.0,2990000.0,2360000.0,2089999.9999999998,1900000.0
SVN,2350000.0,2390000.0,2440000.0,2470000.0,2510000.0
LSO,2140000.0,2280000.0,2380000.0,30300000.0,48300.0
TTO,2120000.0,2170000.0,2029999.9999999998,1970000.0,2160000.0
MKD,2080000.0,2049999.9999999998,2009999.9999999998,1970000.0,2060000.0
MAC,1900000.0,1970000.0,2049999.9999999998,2180000.0,2069999.9999999998
EST,1900000.0,1900000.0,1900000.0,1920000.0,1950000.0
MUS,1760000.0,1810000.0,1840000.0,1920000.0,4710000.0
TLS,1380000.0,1490000.0,1560000.0,1470000.0,1430000.0
GNB,1240000.0,1290000.0,1430000.0,1480000.0,1590000.0
CAF,1240000.0,1250000.0,1180000.0,1280000.0,1530000.0
CYP,1110000.0,1130000.0,1180000.0,1200000.0,1240000.0
MNE,1010000.0,1040000.0,1040000.0,1130000.0,1150000.0
FJI,966000.0,1040000.0,1030000.0,7150000.0,7150000.0
SXM,941000.0,995000.0,1050000.0,12600000.0,12700000.0
SWZ,941000.0,995000.0,1050000.0,12600000.0,12700000.0
LUX,807000.0,764000.0,794000.0,799000.0,836000.0
SUR,750000.0,807000.0,796000.0,752000.0,814000.0
MDV,740000.0,812000.0,900000.0,858000.0,828000.0
BTN,676000.0,698000.0,731000.0,704000.0,729000.0
CPV,611000.0,602000.0,612000.0,610000.0,596000.0
GUY,543000.0,585000.0,643000.0,20500000.0,20900000.0
GNQ,533000.0,576000.0,566000.0,591000.0,1590000.0
MLT,524000.0,585000.0,605000.0,616000.0,635000.0
ERI,475000.0,506000.0,695000.0,93800000.0,95300000.0
BRN,463000.0,523000.0,545000.0,566000.0,557000.0
SLB,425000.0,417000.0,465000.0,482000.0,478000.0
COM,425000.0,454000.0,469000.0,499000.0,575000.0
ISL,384000.0,402000.0,401000.0,411000.0,413000.0
BRB,335000.0,332000.0,330000.0,329000.0,312000.0
DJI,314000.0,345000.0,373000.0,395000.0,107000000.0
BHS,311000.0,360000.0,354000.0,389000.0,426000.0
PYF,268000.0,280000.0,288000.0,303000.0,11900000.0
NCL,260000.0,2660000.0,2680000.0,2760000.0,2820000.0
BLZ,212000.0,223000.0,239000.0,246000.0,255000.0
CUW,190000.0,187000.0,187000.0,186000.0,6040000.0
LCA,188000.0,177000.0,177000.0,185000.0,4240000.0
STP,185000.0,178000.0,174000.0,163000.0,166000.0
ATG,176000.0,180000.0,184000.0,3580000.0,3620000.0
VUT,175000.0,219000.0,228000.0,251000.0,265000.0
SYC,148000.0,152000.0,167000.0,179000.0,194000.0
ABW,141000.0,21600000.0,23900000.0,22000000.0,22600000.0
XKX,121000.0,151000.0,124000.0,251000.0,265000.0
WSM,121000.0,151000.0,124000.0,251000.0,265000.0
GRD,120000.0,119000.0,113000.0,116000.0,11900000.0
VCT,113000.0,113000.0,116000.0,106000.0,103000.0
CYM,93200.0,95700.0,96700.0,186000.0,6040000.0
DMA,77300.0,78400.0,75200.0,75800.0,107000000.0
TON,73500.0,80000.0,108000.0,108000.0,62100.0
KNA,73000.0,76600.0,76900.0,53300.0,54700.0
AND,71300.0,76100.0,80300.0,82600.0,87900.0
GRL,61000.0,119000.0,62200.0,62500.0,64900.00000000001
VGB,57200.0,39700.0,44000.0,40000.0,16600000.000000002
VIR,57200.0,39700.0,44000.0,40000.0,16600000.000000002
FRO,53200.0,54500.0,56600.0,56800.0,72000000.0
GIB,41400.0,41100.0,41000.0,41000.0,40500.0
KIR,41000.0,52000.0,46100.0,53300.0,54700.0
LIE,41000.0,44300.0,46400.0,47300.0,48300.0
BMU,38000.0,63900.0,65000.0,246000.0,255000.0
SMR,36600.0,36600.0,38000.0,38500.0,38800.0
MCO,34000.0,33300.0,33000.0,32700.000000000004,33800.0
PLW,23700.0,120000000.0,116000000.0,135000000.0,167000000.0
FSM,22500.0,23400.0,23100.0,56800.0,72000000.0
MHL,15500.0,112000000.0,16000.0,120000000.0,121000000.0
NRU,9400.0,9900.0,10000.0,39200000.0,21800000.0
TUV,6600.0,7600.0,8000.0,80100000.0,80800000.0
